tempo,complexidade,qtd_inputs,req_api

0.00000237, 3, 1, 0
0.0000127, 3, 2, 0
0.00002542, 3, 3, 0
0.00003948, 3, 4, 0
0.00005491, 3, 5, 0
0.00007029, 3, 6, 0
0.00009219, 3, 7, 0
0.0001147, 3, 8, 0
0.00016392, 3, 9, 0
0.0002268, 3, 10, 0
0.000574348, 3, 20, 0
0.00147346, 3, 30, 0
0.001904834, 3, 40, 0
0.003481455, 3, 50, 0
0.005029634, 3, 60, 0
0.006484009, 3, 70, 0
0.00867084, 3, 80, 0
0.011245002, 3, 90, 0
0.013712439, 3, 100, 0
0.000504785, 3, 30, 0
0.000693381, 3, 40, 0
0.000959885, 3, 50, 0
0.00100668137, 3, 60, 0
0.002179565, 3, 70, 0
0.0032825, 3, 80, 0
0.002795273, 3, 90, 0
0.00306355, 3, 100, 0
0.0000288, 3, 1, 0
0.0000723, 3, 2, 0
0.000094, 3, 3, 0
0.0001711, 3, 4, 0
0.0002158, 3, 5, 0
0.0002263, 3, 6, 0
0.0002639, 3, 7, 0
0.000491, 3, 8, 0
0.0004924, 3, 9, 0
0.0005205, 3, 10, 0
0.0013008, 3, 20, 0
0.00152449, 3, 30, 0
0.0018604, 3, 40, 0
0.00161279, 3, 50, 0
0.00326858, 3, 60, 0
0.00548728, 3, 70, 0
0.00686758, 3, 80, 0
0.00796685, 3, 90, 0
0.0109936, 3, 100, 0
0.0129995, 3, 125, 0
0.0178423, 3, 150, 0
0.0210569, 3, 175, 0
0.0253949, 3, 200, 0
0.0264814, 3, 225, 0
0.0295945, 3, 250, 0
0.0391031, 3, 275, 0
0.0419647, 3, 300, 0
0.0458543, 3, 325, 0
0.0493106, 3, 350, 0
0.0592189, 3, 400, 0
0.0639431, 3, 425, 0
0.0676723, 3, 450, 0
0.0716208, 3, 475, 0
0.00000625, 4, 1, 0
0.00000967, 4, 2, 0
0.00001406, 4, 3, 0
0.00002068, 4, 4, 0
0.00002761, 4, 5, 0
0.00003401, 4, 6, 0
0.00004204, 4, 7, 0
0.00004985, 4, 8, 0
0.00006292, 4, 9, 0
0.00007546, 4, 10, 0
0.00025225, 4, 20, 0
0.000371577, 4, 30, 0
0.000848235, 4, 40, 0
0.001817407, 4, 50, 0
0.002433242, 4, 60, 0
0.003268701, 4, 70, 0
0.004626238, 4, 80, 0
0.005716255, 4, 90, 0
0.006734404, 4, 100, 0
0.00000823, 4, 1, 0
0.00001177, 4, 2, 0
0.00001875, 4, 3, 0
0.00002498, 4, 4, 0
0.00003118, 4, 5, 0
0.00004436, 4, 6, 0
0.00004753, 4, 7, 0
0.0000575, 4, 8, 0
0.00006812, 4, 9, 0
0.00007886, 4, 10, 0
0.0002366, 4, 20, 0
0.00046824, 4, 30, 0
0.00598665, 4, 40, 0
0.01325342, 4, 50, 0
0.01601431, 4, 60, 0
0.02497539, 4, 70, 0
0.03523398, 4, 80, 0
0.000383, 4, 1, 0
0.000618, 4, 2, 0
0.000928, 4, 3, 0
0.001094, 4, 4, 0
0.00145, 4, 5, 0
0.001443, 4, 6, 0
0.002122, 4, 7, 0
0.001821, 4, 8, 0
0.00208, 4, 9, 0
0.002268, 4, 10, 0
0.004336, 4, 20, 0
0.00637, 4, 30, 0
0.008938, 4, 40, 0
0.01158, 4, 50, 0
0.013643, 4, 60, 0
0.016252, 4, 70, 0
0.019192, 4, 80, 0
0.022815, 4, 90, 0
0.025332, 4, 100, 0
0.031786, 4, 125, 0
0.046805, 4, 150, 0
0.037828, 4, 175, 0
0.042944, 4, 200, 0
0.048251, 4, 225, 0
0.053656, 4, 250, 0
0.059919, 4, 275, 0
0.06658, 4, 300, 0
0.071882, 4, 325, 0
0.077374, 4, 350, 0
0.084143, 4, 375, 0
0.090998, 4, 400, 0
0.09594, 4, 425, 0
0.102136, 4, 450, 0
0.113178, 4, 475, 0
0.113161, 4, 500, 0
0.121087, 4, 525, 0
0.127266, 4, 550, 0
0.132076, 4, 575, 0
0.138707, 4, 600, 0
0.12314939498901367, 4, 500, 0
0.13096165657043457, 4, 500, 0
0.11497116088867188, 4, 500, 0
0.12550735473632812, 4, 550, 0
0.1572856903076172, 4, 550, 0
0.12968826293945312, 4, 550, 0
0.1961073875427246, 4, 600, 0
0.19618868827819824, 4, 600, 0
0.19637417793273926, 4, 600, 0
0.2308189868927002, 4, 650, 0
0.22254443168640137, 4, 650, 0
0.20304179191589355, 4, 650, 0
0.26996660232543945, 4, 700, 0
0.24151229858398438, 4, 700, 0
0.25762271881103516, 4, 700, 0
0.2852132320404053, 4, 750, 0
0.27659082412719727, 4, 750, 0
0.26871585845947266, 4, 750, 0
0.3327343463897705, 4, 800, 0
0.36402416229248047, 4, 800, 0
0.34009647369384766, 4, 800, 0
0.5364770889282227, 4, 950, 0
0.4755682945251465, 4, 950, 0
0.4875166416168213, 4, 950, 0
0.5723559856414795, 4, 1000, 0
0.5283946990966797, 4, 1000, 0
0.5796496868133545, 4, 1000, 0
0.6819519996643066, 4, 1100, 0
0.7131044864654541, 4, 1100, 0
0.673332691192627, 4, 1100, 0
0.8121035099029541, 4, 1200, 0
0.8025281429290771, 4, 1200, 0
0.8268473148345947, 4, 1200, 0
0.9648282527923584, 4, 1300, 0
0.9936792850494385, 4, 1300, 0
0.9413197040557861, 4, 1300, 0
2.4054770469665527, 4, 2000, 0
2.3337552547454834, 4, 2000, 0
2.3338191509246826, 4, 2000, 0
2.6957881450653076, 4, 2100, 0
2.6030168533325195, 4, 2100, 0
2.588589668273926, 4, 2100, 0
2.9876081943511963, 4, 2200, 0
2.876472234725952, 4, 2200, 0
2.8829116821289062, 4, 2200, 0
3.2516913414001465, 4, 2300, 0
3.0905563831329346, 4, 2300, 0
3.159755229949951, 4, 2300, 0
3.5524518489837646, 4, 2400, 0
3.406777858734131, 4, 2400, 0
3.4346296787261963, 4, 2400, 0
3.86285400390625, 4, 2500, 0
3.6844518184661865, 4, 2500, 0
3.7197134494781494, 4, 2500, 0
4.108806848526001, 4, 2600, 0
4.086704730987549, 4, 2600, 0
4.033883571624756, 4, 2600, 0
4.497807502746582, 4, 2700, 0
4.318148851394653, 4, 2700, 0
4.393466472625732, 4, 2700, 0
4.825820446014404, 4, 2800, 0
4.657536029815674, 4, 2800, 0
4.69073486328125, 4, 2800, 0
5.145966291427612, 4, 2900, 0
4.99857497215271, 4, 2900, 0
5.088688135147095, 4, 2900, 0
5.444200277328491, 4, 3000, 0
5.398024797439575, 4, 3000, 0
5.4178853034973145, 4, 3000, 0
9.742069244384766, 4, 4000, 0
9.550850629806519, 4, 4000, 0
9.586788415908813, 4, 4000, 0
15.187199354171753, 4, 5000, 0
14.881985187530518, 4, 5000, 0
14.8682119846344, 4, 5000, 0
21.894676208496094, 4, 6000, 0
21.597457885742188, 4, 6000, 0
21.614110946655273, 4, 6000, 0
29.80700445175171, 4, 7000, 0
29.433523416519165, 4, 7000, 0
29.43702793121338, 4, 7000, 0
38.978270053863525, 4, 8000, 0
38.08613896369934, 4, 8000, 0
38.46445894241333, 4, 8000, 0
49.32663440704346, 4, 9000, 0
48.62388491630554, 4, 9000, 0
48.61878824234009, 4, 9000, 0
52.63880801200867, 4, 9100,0
53.560657024383545, 4, 9200,0
55.143328905105595, 4, 9300,0
56.24216365814209, 4, 9400,0
57.44908690452576, 4, 9500,0
58.43893885612488, 4, 9600,0
59.75263237953186, 4, 9700,0
61.20626, 4, 9800,0
62.47533, 4, 9900,0
63.76138, 4, 10000,0
61.5845875740051328, 4, 10000, 0
60.01938, 4, 10000, 0
60.14428, 4, 10000, 0
74.5003092288970880, 4, 11000, 0
72.64116, 4, 11000, 0
72.48036, 4, 11000, 0
88.1615087985992448, 4, 12000, 0
86.41152, 4, 12000, 0
87.261508798539648, 4, 12000, 0
64.91171, 4, 10100,0
66.23588, 4, 10200,0
67.586788, 4, 10300,0
68.87953, 4, 10400,0
68.87953, 4, 10400,0
70.27241, 4, 10500,0
71.50293, 4, 10600,0
72.80533, 4, 10700,0
74.42251, 4, 10800,0
75.85108, 4, 10900,0
77.15627, 4, 11000,0
78.57064, 4, 11100,0
79.97697, 4, 11200,0
81.39143, 4, 11300,0
82.68069, 4, 11400,0
84.17151, 4, 11500,0
85.53364, 4, 11600,0
87.15246, 4, 11700,0
88.82956, 4, 11800,0
90.22985, 4, 11900,0
91.68814 , 4, 12000,0
93.41142 , 4, 12100,0
94.85246 , 4, 12200,0
96.61772 , 4, 12300,0
98.04949 , 4, 12400,0
99.24124 , 4, 12500,0
101.35258 , 4, 12600,0
102.87770 , 4, 12700,0
103.97520 , 4, 12800,0
104.21520 , 4, 12900,0
105.3077, 4, 13000, 0
105.54965, 4, 13000, 0
105.074678421020496, 4, 13000, 0
105.23259, 4, 13100, 0
106.71302 , 4, 13200, 0
107.17354 , 4, 13300, 0
109.25621 , 4, 13400, 0
111.60166 , 4, 13500, 0
112.97087, 4, 13600,0
113.1262, 4, 13700,0
114.3152, 4, 13800,0
118.22655, 4, 13900,0
120.3915369510650368, 4, 14000, 0
138.9570746421813760, 4, 15000, 0
137.95707464213760, 4, 15000, 0
139.9570246432184760, 4, 15000, 0
158.19216, 4, 16000, 0
160.53900, 4, 16100, 0
162.78146, 4, 16200, 0
164.85180, 4, 16300, 0
167.11171, 4, 16400, 0
168.85292, 4, 16500, 0
171.46165, 4, 16600, 0
173.46553, 4, 16700, 0
175.26533, 4, 16800, 0
178.26533, 4, 16900, 0
178.10770, 4, 17000, 0
180.45942, 4, 17100, 0
199.97717, 4, 18000, 0
222.95582, 4, 19000, 0
243.62800, 4, 20000, 0
246.49108, 4, 20100, 0
248.88892, 4, 20200, 0
251.27617, 4, 20300, 0
255.32312, 4, 20400, 0
259.24158, 4, 20500, 0
261.52518, 4, 20600, 0
263.73556, 4, 20700, 0
264.90939, 4, 20800, 0
267.21501, 4, 20900, 0
273.25560, 4, 21000, 0
274.55261, 4, 21100, 0
275.32533, 4, 21200, 0
278.21523, 4, 21300, 0
281.21523, 4, 21400, 0
283.38813, 4, 21500, 0
298.70512, 4, 22000, 0
299.57563, 4, 22100, 0
302.21580, 4, 22200, 0
304.43180, 4, 22300, 0
307.23048, 4, 22400, 0
310.25079 , 4, 22500, 0
312.42157, 4, 22600, 0
313.55280, 4, 22700, 0
319.03088, 4, 22800, 0
323.153115, 4, 22800, 0
326.55702, 4, 23000, 0
334.83647, 4, 23400, 0
338.27068, 4, 23500, 0
342.13517, 4, 23600, 0
344.41000, 4, 23700, 0
346.64451, 4, 23800, 0
350.12451, 4, 23900, 0
353.95073, 4, 24000, 0
358.14658, 4, 24100, 0
361.75625, 4, 24200, 0
364.21651, 4, 24300, 0
366.12561, 4, 24400, 0
370.68786, 4, 24500, 0
372.31226, 4, 24600, 0
375.25178, 4, 24700, 0
383.52852, 4, 25000, 0
389.14151 , 4, 25100, 0
393.23643 , 4, 25200, 0
400.22152 , 4, 25400, 0
403.29008 , 4, 25500, 0
405.21525, 4, 25600, 0
407.86791, 4, 25700, 0
410.24153, 4, 25800, 0
414.13101, 4, 25900, 0
417.82405, 4, 26000, 0
425.11472, 4, 26200, 0
428.92117, 4, 26300, 0
430.14267, 4, 26400, 0
434.18989, 4, 26500, 0
438.12486, 4, 26600, 0
440.24266, 4, 26700, 0
444.78154, 4, 26800, 0
448.12472, 4, 26900, 0
450.77021, 4, 27000, 0
454.07960, 4, 27100, 0
457.12254, 4, 27200, 0
477.19851, 4, 27400, 0
481.24525, 4, 27500, 0
485.15835, 4, 27600, 0
488.91355, 4, 27700, 0
452.19811, 4, 27800, 0
457.91231, 4, 27900, 0
504.06089, 4, 28000, 0
516.82503, 4, 29000, 0
520.32679, 4, 29100, 0
526.47141, 4, 29200, 0
543.70783, 4, 29300, 0
547.73125, 4, 29300, 0
531.45893, 4, 29500, 0
531.08821, 4, 29500, 0
542.20162, 4, 29800, 0
555.42514, 4, 29900, 0
563.48040, 4, 30000, 0
566.48040, 4, 30100, 0
569.48040, 4, 30200, 0
571.48040, 4, 30300, 0
573.48040, 4, 30400, 0
576.48040, 4, 30500, 0
580.48040, 4, 30600, 0
584.48040, 4, 30700, 0
589.48040, 4, 30800, 0
594.48040, 4, 30900, 0
618.64711, 4, 31000, 0
625.64711, 4, 31200, 0
630.64711, 4, 31300, 0
633.64711, 4, 31400, 0
638.64711, 4, 31500, 0
642.64711, 4, 31600, 0
648.64711, 4, 31700, 0
650.64711, 4, 31800, 0
653.64711, 4, 31900, 0
657.69127, 4, 32000, 0
688.79190, 4, 33100, 0
744.47189, 4, 34000, 0
733.21765, 4, 34500, 0
790.70139, 4, 35000, 0
786.66039, 4, 34900, 0
788.66039, 4, 35000, 0
819.95572, 4, 36000, 0




